jointmoment_id,session_trial,time,elbow_moment_x,elbow_moment_y,elbow_moment_z,shoulder_thorax_moment_x,shoulder_thorax_moment_y,shoulder_thorax_moment_z,shoulder_upper_arm_moment_x,shoulder_upper_arm_moment_y,shoulder_upper_arm_moment_z,wrist_moment_x,wrist_moment_y,wrist_moment_z,glove_elbow_moment_x,glove_elbow_moment_y,glove_elbow_moment_z,glove_shoulder_glove_upper_arm_moment_x,glove_shoulder_glove_upper_arm_moment_y,glove_shoulder_glove_upper_arm_moment_z,glove_shoulder_thorax_moment_x,glove_shoulder_thorax_moment_y,glove_shoulder_thorax_moment_z,glove_wrist_moment_x,glove_wrist_moment_y,glove_wrist_moment_z
2481246,498_1,0.0,-37.01,17.97,2.13,-69.08,-21.62,-8.16,-61.09,35.69,17.96,3.84,-6.75,0.34,-38.69,86.6,-5.2,-119.15,36.76,26.34,-66.9,-65.63,-86.07,19.91,-4.3,-1.63
2481247,498_1,0.0028,-20.41,4.6,1.51,-33.14,-14.7,-2.29,-31.76,17.42,4.57,0.81,-4.12,0.18,-21.63,50.75,-3.92,-63.72,22.7,17.8,-35.2,-33.12,-50.34,12.17,-2.36,-1.13
2481248,498_1,0.0055,-7.9,-4.87,0.92,-6.63,-9.18,1.91,-9.86,3.94,-4.91,-1.36,-2.09,0.07,-8.66,22.72,-2.84,-21.18,11.46,10.88,-11.02,-8.32,-22.41,6.11,-0.9,-0.73
2481249,498_1,0.0083,0.57,-10.56,0.39,10.75,-5.09,4.38,4.74,-5.02,-10.61,-2.7,-0.67,0.01,0.18,2.51,-1.96,8.47,3.08,5.59,5.66,8.76,-2.28,1.74,0.08,-0.42
2481250,498_1,0.0111,5.43,-12.98,-0.06,20.21,-2.36,5.25,12.87,-10.14,-13.04,-3.29,0.2,-0.01,5.25,-10.57,-1.26,26.43,-2.66,1.8,15.54,18.85,10.72,-1.11,0.6,-0.19
2481251,498_1,0.0139,7.35,-12.87,-0.41,23.47,-0.82,4.74,15.82,-12.38,-12.93,-3.3,0.63,0.0,7.16,-17.7,-0.7,34.71,-6.17,-0.73,19.83,23.15,17.79,-2.68,0.73,-0.04
2481252,498_1,0.0167,7.13,-11.07,-0.64,22.44,-0.22,3.2,15.08,-12.7,-11.12,-2.9,0.71,0.03,6.71,-20.28,-0.24,35.73,-7.89,-2.28,19.98,23.11,20.31,-3.29,0.56,0.07
2481253,498_1,0.0194,5.54,-8.36,-0.74,18.94,-0.28,1.04,12.09,-11.96,-8.39,-2.25,0.56,0.06,4.76,-19.74,0.13,31.94,-8.29,-3.16,17.46,20.18,19.72,-3.25,0.2,0.14
2481254,498_1,0.0222,3.27,-5.38,-0.73,14.44,-0.68,-1.33,8.17,-10.76,-5.4,-1.5,0.27,0.08,2.15,-17.39,0.47,25.62,-7.82,-3.59,13.6,15.74,17.3,-2.85,-0.25,0.2
2481255,498_1,0.025,0.87,-2.61,-0.63,10.03,-1.12,-3.51,4.33,-9.49,-2.6,-0.76,-0.06,0.09,-0.45,-14.26,0.77,18.58,-6.87,-3.76,9.47,10.92,14.12,-2.32,-0.7,0.24
2481256,498_1,0.0278,-1.24,-0.35,-0.45,6.42,-1.34,-5.18,1.32,-8.32,-0.31,-0.1,-0.37,0.09,-2.49,-11.16,1.05,12.17,-5.77,-3.77,5.8,6.6,10.96,-1.83,-1.09,0.28
2481257,498_1,0.0306,-2.79,1.24,-0.25,3.96,-1.14,-6.1,-0.44,-7.27,1.31,0.41,-0.59,0.07,-3.67,-8.58,1.3,7.2,-4.8,-3.62,2.95,3.33,8.34,-1.48,-1.38,0.33
2481258,498_1,0.0333,-3.61,2.11,-0.04,2.73,-0.48,-6.15,-0.8,-6.31,2.19,0.73,-0.69,0.04,-3.87,-6.78,1.54,4.0,-4.19,-3.31,1.03,1.41,6.49,-1.32,-1.53,0.37
2481259,498_1,0.0361,-3.69,2.26,0.12,2.62,0.6,-5.32,0.14,-5.37,2.36,0.85,-0.65,0.01,-3.19,-5.8,1.75,2.54,-4.03,-2.8,-0.09,0.87,5.47,-1.32,-1.56,0.42
2481260,498_1,0.0389,-3.1,1.81,0.24,3.42,1.98,-3.75,2.1,-4.44,1.9,0.78,-0.45,-0.03,-1.8,-5.54,1.92,2.53,-4.37,-2.06,-0.61,1.55,5.18,-1.46,-1.49,0.46
2481261,498_1,0.0417,-1.98,0.92,0.28,4.79,3.46,-1.72,4.67,-3.53,1.0,0.55,-0.14,-0.06,-0.01,-5.82,2.04,3.57,-5.13,-1.12,-0.76,3.16,5.43,-1.66,-1.34,0.49
2481262,498_1,0.0444,-0.59,-0.17,0.24,6.39,4.87,0.45,7.39,-2.7,-0.11,0.22,0.23,-0.08,1.92,-6.41,2.09,5.24,-6.17,-0.02,-0.71,5.36,6.02,-1.85,-1.14,0.51
2481263,498_1,0.0472,0.82,-1.19,0.14,7.88,6.06,2.38,9.83,-2.02,-1.16,-0.11,0.59,-0.09,3.71,-7.1,2.05,7.17,-7.31,1.14,-0.56,7.78,6.72,-1.99,-0.93,0.5
2481264,498_1,0.05,1.99,-1.88,-0.01,8.98,6.95,3.76,11.64,-1.54,-1.88,-0.37,0.87,-0.08,5.16,-7.72,1.91,9.05,-8.35,2.26,-0.35,10.11,7.38,-2.04,-0.73,0.47
2481265,498_1,0.0528,2.73,-2.04,-0.19,9.5,7.53,4.36,12.64,-1.3,-2.08,-0.49,1.0,-0.06,6.13,-8.13,1.64,10.66,-9.1,3.24,-0.07,12.07,7.83,-1.98,-0.55,0.41
2481266,498_1,0.0556,2.94,-1.58,-0.37,9.39,7.84,4.14,12.8,-1.29,-1.66,-0.43,0.95,-0.03,6.57,-8.18,1.25,11.84,-9.39,4.02,0.3,13.45,7.97,-1.8,-0.42,0.33
2481267,498_1,0.0583,2.63,-0.58,-0.53,8.72,7.95,3.2,12.22,-1.47,-0.69,-0.2,0.74,0.02,6.45,-7.79,0.76,12.45,-9.12,4.53,0.76,14.11,7.68,-1.53,-0.33,0.21
2481268,498_1,0.0611,1.93,0.76,-0.67,7.67,7.91,1.79,11.15,-1.78,0.61,0.15,0.42,0.06,5.79,-6.87,0.19,12.39,-8.18,4.8,1.31,13.93,6.88,-1.15,-0.29,0.08
2481269,498_1,0.0639,1.03,2.14,-0.77,6.49,7.74,0.25,9.83,-2.13,1.96,0.52,0.04,0.1,4.67,-5.38,-0.4,11.62,-6.55,4.82,1.93,12.9,5.52,-0.68,-0.3,-0.06
2481270,498_1,0.0667,0.13,3.23,-0.83,5.43,7.44,-1.09,8.54,-2.43,3.04,0.83,-0.3,0.13,3.16,-3.33,-0.97,10.15,-4.25,4.65,2.61,11.06,3.6,-0.13,-0.36,-0.2
2481271,498_1,0.0694,-0.6,3.78,-0.84,4.66,7.02,-1.96,7.46,-2.64,3.59,0.99,-0.56,0.15,1.41,-0.84,-1.44,8.13,-1.37,4.29,3.35,8.53,1.23,0.46,-0.45,-0.32
2481272,498_1,0.0722,-1.07,3.67,-0.8,4.3,6.49,-2.22,6.71,-2.71,3.49,0.98,-0.68,0.15,-0.46,1.87,-1.77,5.78,1.89,3.76,4.17,5.55,-1.39,1.03,-0.57,-0.4
2481273,498_1,0.075,-1.26,2.94,-0.7,4.35,5.91,-1.89,6.36,-2.64,2.8,0.79,-0.68,0.14,-2.27,4.46,-1.9,3.42,5.24,3.06,5.1,2.4,-3.93,1.54,-0.72,-0.45
2481274,498_1,0.0778,-1.23,1.8,-0.55,4.71,5.38,-1.11,6.37,-2.44,1.71,0.5,-0.56,0.11,-3.88,6.57,-1.84,1.41,8.34,2.16,6.12,-0.57,-6.04,1.9,-0.87,-0.46
2481275,498_1,0.0806,-1.07,0.51,-0.35,5.26,5.01,-0.09,6.71,-2.15,0.47,0.16,-0.39,0.07,-5.15,7.86,-1.59,0.06,10.84,1.07,7.2,-3.06,-7.39,2.04,-1.01,-0.41
2481276,498_1,0.0833,-0.89,-0.66,-0.12,5.88,4.87,0.92,7.29,-1.85,-0.63,-0.13,-0.21,0.02,-5.99,8.13,-1.2,-0.47,12.48,-0.16,8.27,-4.82,-7.77,1.94,-1.12,-0.33
2481277,498_1,0.0861,-0.76,-1.52,0.13,6.46,4.98,1.73,8.0,-1.6,-1.43,-0.32,-0.05,-0.03,-6.4,7.35,-0.74,-0.15,13.1,-1.47,9.22,-5.75,-7.12,1.6,-1.2,-0.22
2481278,498_1,0.0889,-0.71,-2.01,0.36,6.95,5.26,2.23,8.7,-1.47,-1.87,-0.42,0.08,-0.07,-6.43,5.72,-0.27,0.82,12.74,-2.74,9.92,-5.89,-5.64,1.1,-1.24,-0.11
2481279,498_1,0.0917,-0.72,-2.2,0.57,7.34,5.58,2.38,9.27,-1.52,-2.0,-0.43,0.16,-0.11,-6.18,3.59,0.14,2.13,11.58,-3.84,10.26,-5.41,-3.64,0.51,-1.24,0.0
2481280,498_1,0.0944,-0.76,-2.21,0.71,7.62,5.73,2.24,9.56,-1.76,-1.97,-0.41,0.21,-0.13,-5.79,1.37,0.45,3.42,9.91,-4.65,10.18,-4.58,-1.52,-0.06,-1.21,0.09
2481281,498_1,0.0972,-0.76,-2.21,0.79,7.77,5.56,1.92,9.45,-2.13,-1.94,-0.41,0.25,-0.14,-5.36,-0.55,0.64,4.39,8.08,-5.12,9.68,-3.66,0.33,-0.51,-1.16,0.14
2481282,498_1,0.1,-0.68,-2.3,0.8,7.72,4.96,1.55,8.86,-2.54,-2.0,-0.45,0.29,-0.15,-4.96,-1.91,0.71,4.84,6.39,-5.25,8.87,-2.89,1.67,-0.8,-1.1,0.17
2481283,498_1,0.1028,-0.5,-2.5,0.73,7.4,3.94,1.22,7.79,-2.86,-2.19,-0.55,0.34,-0.14,-4.57,-2.64,0.69,4.77,5.03,-5.11,7.88,-2.37,2.42,-0.93,-1.03,0.17
2481284,498_1,0.1056,-0.22,-2.72,0.59,6.7,2.62,1.0,6.26,-2.95,-2.44,-0.68,0.4,-0.12,-4.16,-2.85,0.61,4.32,4.08,-4.8,6.87,-2.12,2.66,-0.94,-0.94,0.15
2481285,498_1,0.1083,0.13,-2.83,0.39,5.56,1.19,0.88,4.42,-2.72,-2.6,-0.79,0.47,-0.09,-3.66,-2.76,0.5,3.73,3.43,-4.43,5.96,-2.01,2.6,-0.9,-0.84,0.13
2481286,498_1,0.1111,0.52,-2.61,0.13,3.96,-0.12,0.79,2.4,-2.14,-2.49,-0.8,0.55,-0.06,-3.02,-2.63,0.39,3.22,2.92,-4.04,5.18,-1.88,2.48,-0.88,-0.73,0.11
2481287,498_1,0.1139,0.92,-1.89,-0.18,1.95,-1.07,0.62,0.41,-1.25,-1.93,-0.66,0.63,-0.02,-2.25,-2.65,0.29,2.98,2.32,-3.64,4.5,-1.52,2.49,-0.9,-0.61,0.09
2481288,498_1,0.1167,1.26,-0.54,-0.51,-0.37,-1.49,0.27,-1.39,-0.13,-0.8,-0.31,0.69,0.02,-1.38,-2.91,0.22,3.07,1.48,-3.18,3.84,-0.82,2.72,-0.99,-0.48,0.08
2481289,498_1,0.1194,1.47,1.43,-0.85,-2.85,-1.31,-0.35,-2.87,1.06,0.93,0.24,0.72,0.06,-0.5,-3.38,0.15,3.46,0.32,-2.59,3.12,0.27,3.14,-1.11,-0.36,0.08
2481290,498_1,0.1222,1.46,3.9,-1.16,-5.27,-0.57,-1.26,-3.95,2.17,3.14,0.97,0.69,0.1,0.31,-3.91,0.08,4.03,-1.08,-1.82,2.32,1.71,3.65,-1.22,-0.24,0.08
2481291,498_1,0.125,1.13,6.57,-1.39,-7.39,0.56,-2.4,-4.58,3.06,5.56,1.78,0.56,0.13,1.0,-4.34,-0.01,4.66,-2.55,-0.85,1.47,3.33,4.07,-1.25,-0.12,0.06
2481292,498_1,0.1278,0.4,8.99,-1.5,-8.93,1.84,-3.58,-4.77,3.59,7.82,2.55,0.31,0.15,1.54,-4.52,-0.14,5.27,-3.88,0.27,0.68,4.99,4.27,-1.18,0.01,0.04
2481293,498_1,0.1306,-0.77,10.68,-1.46,-9.63,2.98,-4.6,-4.53,3.66,9.46,3.11,-0.07,0.15,1.93,-4.37,-0.29,5.81,-4.85,1.46,0.09,6.51,4.18,-1.01,0.16,0.01
2481294,498_1,0.1333,-2.34,11.15,-1.22,-9.22,3.69,-5.19,-3.87,3.22,10.04,3.33,-0.58,0.14,2.2,-3.88,-0.47,6.28,-5.33,2.62,-0.18,7.76,3.8,-0.74,0.32,-0.03
2481295,498_1,0.1361,-4.16,10.05,-0.8,-7.56,3.82,-5.15,-2.78,2.27,9.25,3.09,-1.19,0.11,2.36,-3.13,-0.65,6.69,-5.28,3.65,-0.07,8.68,3.16,-0.41,0.48,-0.07
2481296,498_1,0.1389,-6.03,7.3,-0.22,-4.62,3.31,-4.36,-1.26,0.86,6.96,2.36,-1.82,0.07,2.37,-2.19,-0.82,7.03,-4.75,4.49,0.39,9.24,2.35,-0.07,0.62,-0.12
2481297,498_1,0.1417,-7.65,3.06,0.45,-0.55,2.28,-2.83,0.69,-0.88,3.33,1.19,-2.39,0.02,2.18,-1.15,-0.94,7.24,-3.86,5.13,1.06,9.44,1.43,0.26,0.71,-0.15
2481298,498_1,0.1444,-8.77,-2.16,1.12,4.27,0.95,-0.72,2.98,-2.76,-1.22,-0.3,-2.83,-0.04,1.72,-0.05,-0.98,7.23,-2.75,5.59,1.77,9.29,0.42,0.57,0.7,-0.18
2481299,498_1,0.1472,-9.17,-7.67,1.72,9.33,-0.39,1.68,5.47,-4.59,-6.09,-1.88,-3.07,-0.09,0.94,1.09,-0.93,6.89,-1.54,5.9,2.36,8.8,-0.66,0.85,0.56,-0.19
2481300,498_1,0.15,-8.76,-12.66,2.14,14.02,-1.45,4.01,7.95,-6.16,-10.56,-3.34,-3.05,-0.14,-0.18,2.27,-0.77,6.14,-0.32,6.09,2.71,7.98,-1.82,1.1,0.3,-0.18
2481301,498_1,0.1528,-7.56,-16.39,2.33,17.74,-2.04,5.87,10.11,-7.32,-13.98,-4.45,-2.77,-0.16,-1.54,3.45,-0.52,5.02,0.89,6.16,2.81,6.85,-3.01,1.35,-0.08,-0.16
2481302,498_1,0.1556,-5.73,-18.3,2.26,20.02,-2.06,6.94,11.71,-7.99,-15.83,-5.03,-2.28,-0.18,-2.99,4.57,-0.18,3.63,2.11,6.07,2.76,5.45,-4.16,1.58,-0.52,-0.13
2481303,498_1,0.1583,-3.51,-18.09,1.93,20.61,-1.5,7.02,12.53,-8.14,-15.85,-5.01,-1.62,-0.17,-4.33,5.52,0.19,2.21,3.38,5.73,2.77,3.86,-5.17,1.78,-0.95,-0.09
2481304,498_1,0.1611,-1.18,-15.8,1.38,19.46,-0.45,6.07,12.5,-7.79,-14.05,-4.39,-0.89,-0.14,-5.34,6.15,0.55,1.03,4.76,5.06,3.07,2.15,-5.87,1.93,-1.3,-0.04
2481305,498_1,0.1639,0.95,-11.74,0.69,16.8,0.98,4.22,11.67,-7.03,-10.69,-3.25,-0.2,-0.1,-5.85,6.37,0.85,0.34,6.29,4.0,3.88,0.44,-6.17,2.0,-1.51,0.0
2481306,498_1,0.1667,2.58,-6.44,-0.05,12.99,2.64,1.75,10.2,-5.92,-6.21,-1.75,0.37,-0.05,-5.76,6.12,1.05,0.28,7.94,2.55,5.27,-1.18,-5.99,1.96,-1.55,0.04
2481307,498_1,0.1694,3.44,-0.53,-0.74,8.46,4.4,-0.96,8.34,-4.5,-1.16,-0.08,0.71,0.0,-5.14,5.46,1.13,0.83,9.64,0.78,7.17,-2.65,-5.37,1.83,-1.4,0.07
2481308,498_1,0.1722,3.33,5.34,-1.29,3.67,6.14,-3.55,6.32,-2.83,3.91,1.58,0.77,0.04,-4.15,4.51,1.09,1.83,11.27,-1.12,9.35,-3.9,-4.44,1.6,-1.12,0.09
2481309,498_1,0.175,2.13,10.62,-1.61,-1.04,7.75,-5.66,4.35,-0.91,8.55,3.05,0.51,0.07,-3.03,3.47,0.96,2.99,12.64,-2.92,11.46,-4.89,-3.39,1.32,-0.78,0.1
2481310,498_1,0.1778,-0.12,14.94,-1.66,-5.39,9.16,-7.08,2.56,1.24,12.42,4.26,-0.08,0.08,-2.08,2.56,0.78,4.02,13.57,-4.35,13.11,-5.55,-2.43,1.02,-0.44,0.09
2481311,498_1,0.1806,-2.7,-2.29,0.22,7.59,4.76,1.92,8.59,-2.26,-2.23,-0.22,0.46,-0.04,-0.57,-1.77,0.53,7.5,5.9,1.45,9.56,1.14,-1.2,-0.4,-0.17,0.11
2481312,498_1,0.1833,-6.81,20.18,-0.91,-12.53,11.18,-7.63,-0.22,5.96,17.42,5.72,-1.88,0.05,-1.41,1.62,0.38,4.93,13.43,-5.25,13.89,-5.51,-1.36,0.49,-0.05,0.07
2481313,498_1,0.1861,-10.33,21.26,-0.2,-15.21,11.78,-7.01,-1.21,8.29,18.64,6.07,-2.83,0.01,-1.76,1.53,0.23,4.86,12.17,-4.53,12.87,-4.58,-1.24,0.29,-0.03,0.05
2481314,498_1,0.1889,-13.17,21.61,0.59,-17.25,12.14,-6.11,-1.95,10.34,19.23,6.26,-3.57,-0.04,-2.36,1.45,0.1,4.75,10.1,-3.12,11.13,-2.91,-1.18,0.09,-0.09,0.03
2481315,498_1,0.1917,-14.76,21.47,1.37,-18.6,12.29,-5.21,-2.43,11.89,19.36,6.37,-3.93,-0.09,-2.9,1.04,-0.03,4.94,7.28,-1.29,8.96,-0.48,-0.9,-0.14,-0.15,0.02
2481316,498_1,0.1944,-14.67,21.01,2.01,-19.18,12.25,-4.51,-2.63,12.75,19.14,6.44,-3.78,-0.13,-3.04,-0.01,-0.21,5.73,3.85,0.63,6.72,2.62,-0.07,-0.47,-0.11,0.0
2481317,498_1,0.1972,-12.75,20.27,2.44,-18.89,11.99,-4.13,-2.54,12.77,18.58,6.47,-3.07,-0.17,-2.5,-1.93,-0.47,7.26,0.0,2.25,4.69,6.14,1.52,-0.94,0.12,-0.03
2481318,498_1,0.2,-9.21,19.14,2.6,-17.61,11.47,-4.04,-2.13,11.89,17.6,6.38,-1.84,-0.18,-1.14,-4.77,-0.86,9.46,-4.01,3.23,3.08,9.7,3.96,-1.57,0.58,-0.06
2481319,498_1,0.2028,-4.57,17.41,2.51,-15.3,10.64,-4.11,-1.38,10.13,16.04,6.08,-0.25,-0.17,0.98,-8.29,-1.35,12.0,-7.84,3.35,1.94,12.82,7.06,-2.31,1.28,-0.11
2481320,498_1,0.2056,0.36,14.84,2.21,-11.94,9.44,-4.13,-0.31,7.63,13.72,5.47,1.48,-0.13,3.58,-11.99,-1.9,14.32,-11.08,2.55,1.21,14.97,10.41,-3.06,2.16,-0.16
2481321,498_1,0.2083,4.72,11.25,1.76,-7.61,7.86,-3.87,1.05,4.6,10.51,4.43,3.11,-0.08,6.17,-15.16,-2.43,15.79,-13.3,0.99,0.77,15.69,13.36,-3.66,3.1,-0.21
2481322,498_1,0.2111,7.72,6.58,1.26,-2.51,5.91,-3.16,2.65,1.27,6.42,2.93,4.39,-0.01,8.17,-16.99,-2.81,15.76,-14.12,-1.0,0.41,14.65,15.21,-3.91,3.94,-0.25
2481323,498_1,0.2139,8.9,0.96,0.81,3.12,3.7,-1.95,4.41,-2.11,1.59,1.01,5.16,0.05,8.97,-16.81,-2.91,13.78,-13.28,-3.03,-0.03,11.73,15.33,-3.65,4.51,-0.27
2481324,498_1,0.2167,8.18,-5.34,0.49,8.92,1.35,-0.29,6.21,-5.34,-3.72,-1.22,5.38,0.1,8.1,-14.28,-2.63,9.67,-10.77,-4.7,-0.72,7.08,13.35,-2.76,4.67,-0.27
2481325,498_1,0.2194,5.91,-11.88,0.34,14.55,-1.01,1.67,7.92,-8.24,-9.16,-3.56,5.1,0.14,5.31,-9.48,-1.93,3.62,-6.86,-5.71,-1.78,1.14,9.29,-1.26,4.31,-0.24
2481326,498_1,0.2222,2.78,-18.22,0.39,19.62,-3.28,3.74,9.37,-10.7,-14.32,-5.78,4.47,0.16,0.68,-3.02,-0.83,-3.83,-2.12,-5.95,-3.27,-5.46,3.63,0.7,3.42,-0.17
2481327,498_1,0.225,-0.37,-23.86,0.61,23.79,-5.39,5.67,10.36,-12.62,-18.85,-7.63,3.7,0.16,-5.38,4.09,0.56,-11.86,2.66,-5.46,-5.21,-11.93,-2.81,2.85,2.09,-0.07
2481328,498_1,0.2278,-2.76,-28.38,0.95,26.72,-7.33,7.28,10.69,-13.93,-22.43,-8.88,2.97,0.14,-12.19,10.63,2.06,-19.49,6.6,-4.46,-7.56,-17.49,-8.97,4.86,0.43,0.04
2481329,498_1,0.2306,-0.42,-9.76,-0.2,9.21,-1.05,5.48,5.68,-3.35,-8.65,-2.08,-0.87,0.04,-6.4,-0.02,0.63,-1.87,-7.73,-5.32,-7.42,5.94,0.32,0.38,1.42,0.03
2481330,498_1,0.2333,-3.56,-32.51,1.48,27.76,-10.77,8.9,8.6,-14.48,-25.81,-8.99,2.04,0.11,-24.71,17.53,4.54,-30.2,8.93,-2.11,-13.22,-23.36,-16.42,7.02,-3.02,0.29
2481331,498_1,0.2361,-2.14,-31.55,1.37,25.51,-12.34,8.73,5.93,-13.64,-25.33,-7.75,1.78,0.09,-28.87,16.53,5.09,-32.24,6.45,-1.36,-16.37,-23.1,-16.36,6.66,-4.43,0.4
2481332,498_1,0.2389,-0.3,-28.36,0.77,21.35,-13.88,7.84,2.09,-12.09,-23.37,-5.72,1.45,0.1,-30.93,12.51,4.95,-32.0,1.6,-1.18,-19.61,-20.89,-13.55,5.2,-5.44,0.48
2481333,498_1,0.2417,1.02,-22.98,-0.46,15.4,-15.47,6.25,-2.89,-9.94,-20.03,-3.05,0.79,0.11,-30.68,6.1,4.06,-29.88,-5.11,-1.67,-22.81,-17.25,-8.41,2.75,-5.95,0.53
2481334,498_1,0.2444,0.83,-15.63,-2.41,7.96,-17.22,3.98,-8.91,-7.41,-15.53,0.05,-0.42,0.14,-28.2,-1.59,2.44,-26.53,-12.79,-2.81,-25.78,-12.89,-1.74,-0.43,-5.94,0.54
2481335,498_1,0.2472,-1.67,-6.82,-5.07,-0.51,-19.28,1.1,-15.8,-4.8,-10.25,3.33,-2.35,0.18,-23.76,-9.21,0.2,-22.68,-20.31,-4.43,-28.26,-8.62,5.41,-3.96,-5.47,0.52
2481336,498_1,0.25,-6.89,2.72,-8.33,-9.33,-21.75,-2.23,-23.25,-2.47,-4.67,6.53,-5.06,0.21,-17.82,-15.34,-2.45,-19.0,-26.46,-6.26,-29.85,-5.12,11.84,-7.38,-4.63,0.47
2481337,498_1,0.2528,-14.66,12.0,-11.91,-17.73,-24.68,-5.77,-30.79,-0.78,0.63,9.36,-8.41,0.24,-10.94,-18.76,-5.18,-15.9,-30.12,-7.95,-30.13,-2.85,16.47,-10.2,-3.58,0.4
2481338,498_1,0.2556,-24.18,19.91,-15.43,-24.8,-27.95,-9.22,-37.79,-0.01,5.02,11.56,-12.09,0.24,-3.81,-18.73,-7.63,-13.5,-30.45,-9.1,-28.65,-1.93,18.49,-11.98,-2.53,0.31
2481339,498_1,0.2583,-34.05,25.38,-18.37,-29.7,-31.25,-12.19,-43.47,-0.31,7.99,12.89,-15.63,0.22,2.82,-15.12,-9.43,-11.57,-27.08,-9.38,-25.05,-2.16,17.54,-12.4,-1.73,0.21
2481340,498_1,0.2611,-42.48,27.61,-20.19,-31.77,-34.02,-14.34,-46.96,-1.62,9.24,13.15,-18.48,0.16,8.19,-8.52,-10.25,-9.65,-20.2,-8.62,-19.2,-3.03,13.77,-11.34,-1.41,0.12
2481341,498_1,0.2639,-47.58,26.29,-20.4,-30.66,-35.48,-15.41,-47.43,-3.68,8.78,12.26,-20.07,0.07,11.65,-0.12,-9.88,-7.2,-10.62,-6.81,-11.29,-3.93,7.87,-8.92,-1.75,0.03
2481342,498_1,0.2667,-47.84,21.73,-18.66,-26.5,-34.76,-15.28,-44.29,-6.0,7.04,10.28,-19.98,-0.04,12.81,8.51,-8.32,-3.81,0.43,-4.19,-1.85,-4.26,0.92,-5.47,-2.83,-0.04
2481343,498_1,0.2694,-42.47,14.89,-14.88,-19.85,-31.13,-14.05,-37.29,-8.01,4.75,7.39,-18.03,-0.15,11.65,15.84,-5.74,0.69,11.49,-1.12,8.26,-3.62,-5.91,-1.48,-4.55,-0.09
2481344,498_1,0.2722,-31.75,7.11,-9.29,-11.68,-24.14,-11.98,-26.72,-9.12,2.75,3.96,-14.32,-0.26,8.52,20.66,-2.49,6.14,21.15,1.94,18.04,-1.86,-11.52,2.5,-6.67,-0.13
2481345,498_1,0.275,-17.08,-0.24,-2.38,-3.07,-13.91,-9.35,-13.33,-8.89,1.76,0.44,-9.24,-0.36,4.11,22.42,0.95,12.1,28.35,4.6,26.53,0.86,-15.21,5.95,-8.84,-0.16
2481346,498_1,0.2778,-0.68,-6.19,5.11,4.96,-1.17,-6.41,1.67,-7.15,2.08,-2.64,-3.37,-0.43,-0.77,21.18,4.14,17.94,32.51,6.61,32.94,4.22,-16.68,8.48,-10.68,-0.18
2481347,498_1,0.2805,14.81,-10.37,12.39,11.73,12.88,-3.29,16.94,-4.02,3.53,-4.78,2.69,-0.49,-5.35,17.54,6.69,23.06,33.53,7.87,36.83,7.8,-16.08,9.91,-11.89,-0.19
2481348,498_1,0.2833,26.92,-13.01,18.71,16.92,26.75,0.01,31.15,0.13,5.5,-5.57,8.46,-0.55,-9.1,12.39,8.39,26.98,31.77,8.47,38.09,11.23,-13.85,10.24,-12.27,-0.2
2481349,498_1,0.2861,33.77,-14.74,23.46,20.57,39.0,3.57,43.22,4.78,7.24,-4.76,13.75,-0.61,-11.75,6.65,9.19,29.44,27.85,8.59,36.94,14.24,-10.61,9.64,-11.83,-0.2
2481350,498_1,0.2889,34.29,-16.18,26.29,22.89,48.49,7.36,52.41,9.39,8.06,-2.29,18.68,-0.69,-13.33,1.15,9.23,30.41,22.54,8.45,33.86,16.68,-6.98,8.4,-10.71,-0.21
2481351,498_1,0.2917,28.29,-17.62,27.03,24.06,54.55,11.23,58.29,13.47,7.68,1.67,23.65,-0.79,-14.14,-3.51,8.75,30.03,16.72,8.26,29.54,18.46,-3.57,6.87,-9.22,-0.22
2481352,498_1,0.2944,16.35,-18.82,25.71,24.14,56.94,14.78,60.66,16.68,6.23,6.74,29.19,-0.9,-14.63,-6.89,8.09,28.56,11.25,8.15,24.71,19.52,-0.9,5.41,-7.72,-0.25
2481353,498_1,0.2972,-0.26,-19.05,22.46,23.01,55.8,17.43,59.48,18.75,4.28,12.34,35.81,-1.01,-15.3,-8.72,7.55,26.27,6.95,8.21,20.14,19.79,0.63,4.32,-6.59,-0.28
2481354,498_1,0.3,-19.66,-17.26,17.56,20.41,51.54,18.49,54.8,19.57,2.65,17.8,43.76,-1.09,-16.59,-8.81,7.39,23.42,4.5,8.45,16.5,19.2,0.7,3.81,-6.15,-0.33
2481355,498_1,0.3028,-39.46,-12.5,11.36,16.1,44.69,17.37,46.8,19.07,2.17,22.4,52.96,-1.11,-18.76,-7.06,7.78,20.22,4.39,8.86,14.27,17.7,-0.88,3.97,-6.61,-0.37
2481356,498_1,0.3056,-56.88,-4.34,4.37,10.07,35.91,13.77,35.92,17.3,3.37,25.48,62.85,-1.05,-21.83,-3.5,8.74,16.84,6.78,9.43,13.7,15.3,-4.11,4.72,-8.02,-0.42
2481357,498_1,0.3083,-69.14,6.73,-2.76,2.7,25.92,7.89,22.97,14.41,6.27,26.55,72.54,-0.9,-25.52,1.7,10.15,13.4,11.46,10.12,14.7,12.13,-8.78,5.86,-10.26,-0.46
2481358,498_1,0.3111,-73.94,19.18,-9.3,-5.09,15.45,0.53,9.16,10.62,10.21,25.37,80.84,-0.66,-29.23,8.12,11.78,10.05,17.77,10.91,16.92,8.45,-14.44,7.06,-13.06,-0.48
